Intensidad_base,Rango_base,Intensidad_prueba,Rango_prueba,X_control,Y_control,X_prueba,Y_prueba
254.0,1.350120062828064,253.98,1.351760070323944,-1.1059536095011908,-0.7743970542829716,-1.10729702499409,-0.7753377239380473
254.0,1.3596000635623933,253.99,1.360120060443878,-1.1061439669444584,-0.7905427611655429,-1.1065670262165925,-0.7908451146160196
254.0,1.3682600784301755,254.0,1.369140077829361,-1.1054625207536977,-0.8062805079093943,-1.1061735013409566,-0.8067990689444786
254.0,1.377180073261261,253.96,1.3782800686359409,-1.1047882791200654,-0.8222334294510387,-1.105670706930798,-0.8228901721580122
253.99,1.3854000544548035,253.84,1.387240059375763,-1.1033509532828065,-0.8378245548880113,-1.1048163575731107,-0.838937303006461
253.91,1.396120069026947,253.52,1.3977000761032103,-1.1036913992190702,-0.8549950540381264,-1.104940461000692,-0.8559626629605394
253.96,1.4060600638389589,253.92,1.407440059185028,-1.103190447750539,-0.8717658740251206,-1.1042731879000367,-0.8726214796140682
253.88,1.415000058412552,253.09,1.416300059556961,-1.1016893271331358,-0.8879784861067659,-1.1027014807210749,-0.8887942974145369
225.86,1.4107200694084168,220.0,1.4105000615119934,-1.0897651322276867,-0.8958476828191615,-1.0895951786419,-0.8957079714983355
220.15,1.3962200701236724,212.64,1.3971800756454469,-1.0699600875102868,-0.8970038435542694,-1.070695764939703,-0.8976206006553107
219.15,1.3834600639343262,215.5,1.383500062227249,-1.0515577543109982,-0.8989927907661885,-1.0515881567173841,-0.8990187822479219
218.86,1.3701800775527957,216.93,1.3707600772380828,-1.0328255785227474,-0.9003692405184316,-1.0332627754432935,-0.9007503684334394
219.04,1.3577400648593902,217.22,1.358360060453415,-1.014793457101018,-0.9020267862704221,-1.0152568502706913,-0.9024386859025051
219.48,1.3450200533866885,217.55,1.346380060911179,-0.9966188781918989,-0.9032329465004316,-0.9976266023295258,-0.9041462441129952
219.56,1.3335800635814667,217.92,1.3344600570201874,-0.9794564754368548,-0.9050418767696681,-0.980102792291339,-0.9056390894418385
221.5,1.3220400667190553,218.19,1.322900071144104,-0.9622799189050621,-0.9065358766659989,-0.9629058946294194,-0.9071255901588229
221.82,1.3112200617790222,219.79,1.3117200577259065,-0.9456857568979797,-0.9082821695993366,-0.946046366881962,-0.9086285168042526
254.0,1.2987600553035736,254.0,1.2970600509643555,-0.9279763938675732,-0.9086459671823103,-0.9267617246222228,-0.9074566003853296
254.0,1.301820057630539,254.0,1.3009000611305237,-0.9213327835198839,-0.919718089666982,-0.9206816774540191,-0.9190681247055921
252.62,1.3141200578212735,236.71,1.3161200618743896,-0.9210378192449248,-0.9373371121900277,-0.9224395780572947,-0.9387636774512141
223.01,1.3272800767421722,220.21,1.3297600650787351,-0.9210846717672909,-0.9556544509141619,-0.9228056945438676,-0.9574400664248451
224.17,1.3382400572299955,221.0,1.3409600603580474,-0.9193515754367372,-0.9724603495860028,-0.9212201782688355,-0.9744368972005283
233.89,1.349320069551468,224.54,1.3514800679683685,-0.9174608561827687,-0.9894090294043001,-0.9189295321786589,-0.9909928804011141
218.83,1.3641000604629516,218.91,1.3658800685405732,-0.9178174663170152,-1.0091481920305079,-0.919015122230374,-1.0104650250000202
216.78,1.376960061788559,217.49,1.3790400660037994,-0.916599602387485,-1.027552519662064,-0.9179841966757007,-1.0291047168764857
218.98,1.3898000645637512,217.32,1.3924200642108917,-0.9150980914685455,-1.0460113299826308,-0.9168232005240694,-1.0479832318304838
224.66,1.402960065603256,220.63,1.4051200652122495,-0.9135333126011048,-1.0647787715979053,-0.9149397899816086,-1.0664181067341674
253.26,1.4183000564575194,244.62,1.418800064325333,-0.9130942606461546,-1.0852805726273989,-0.9134161631323737,-1.0856631777204666
254.0,1.4318200647830963,254.0,1.434080055952072,-0.9111855326154418,-1.1044680271822196,-0.9126237519194305,-1.1062113244367011
254.0,1.4448000741004945,254.0,1.4460000717639925,-0.9086511599860763,-1.1232988576406335,-0.9094058521323907,-1.1242318282493304
254.0,1.4596800625324249,254.0,1.4620400619506837,-0.9070181103810135,-1.1436712956070547,-0.9084845702360148,-1.1455203744987876
254.0,1.4722200727462769,254.0,1.4738800716400149,-0.9036394264274804,-1.162268355244548,-0.9046583233138742,-1.1635788686790876
219.18,1.4940600717067718,221.55,1.4965600752830506,-0.9056227973084289,-1.1883025064619281,-0.9071381716062268,-1.1902908873658244
254.0,1.5074800622463227,254.0,1.5081800615787506,-0.902147784514489,-1.2077356966512898,-0.9025666974160437,-1.2082965094955709
254.0,1.5215600752830505,254.0,1.5237200725078583,-0.8987712241913572,-1.2277440080329984,-0.9000471142344298,-1.2294869057951077
254.0,1.539580067396164,254.0,1.541440068483353,-0.8973883300089238,-1.2509999876448328,-0.8984724849059602,-1.2525113486882555
253.91,1.558740072250366,253.88,1.56030007481575,-0.8962949129455743,-1.2752748887463288,-0.8971919338077615,-1.2765511965371088
253.97,1.5778000664710998,253.98,1.5794800651073455,-0.8947588997918808,-1.2995612955914893,-0.8957116147545446,-1.3009450331452557
